id,class,cap-color,does-bruise-or-bleed,stem-height
108,e,n,f,7.03
109,e,y,f,6.09
110,e,n,f,4.9
111,p,w,f,8.22
112,e,w,f,3.31
113,p,n,f,7.8
114,p,y,f,6.22
115,p,n,f,6.37
116,e,n,f,9.74
117,p,n,f,4.49
118,p,n,f,9.37
119,e,n,f,4.99
120,p,e,f,13.52
121,p,n,f,4.37
122,p,n,f,5.15
123,p,n,f,11.79
124,p,e,f,5.17
125,e,n,f,7.65
126,e,u,f,4.71
127,e,g,f,2.89
128,p,n,f,5.6
129,e,n,f,7.04
130,p,y,f,8.75
131,p,o,f,2.99
132,p,e,f,8.54
133,e,n,t,7.19
134,e,w,f,6.69
135,p,w,f,8.66
136,e,n,f,7.35
137,e,g,t,12.08
138,p,e,t,5.83
139,p,y,f,5.87
140,p,n,f,4.96
141,e,y,t,7.42
142,p,o,f,3.54
143,p,o,f,1.54
144,e,n,f,4.99
145,e,n,f,13.14
146,p,y,f,7.92
147,p,g,f,10.57
148,e,g,f,4.22
149,p,r,t,4.64
150,p,y,f,3.75
151,p,w,f,4.25
152,p,n,f,6.26
153,p,n,f,4.48
154,e,g,f,5.5
155,e,n,f,5.31
156,p,r,t,5.58
157,p,e,f,5.76
158,e,p,t,4.22
159,p,n,t,5.46
160,e,l,f,8.16
161,p,g,f,9.25
162,e,n,f,6.8
163,p,n,f,11.34
164,e,w,f,7.86
165,e,w,f,2.59
166,p,g,f,11.25
167,e,p,t,6.36
168,p,n,f,10.69
169,p,y,f,2.58
170,p,n,f,3.89
171,p,e,f,4.37
172,e,e,f,8.1
173,e,u,t,4.52
174,p,e,f,17.87
175,p,w,f,12.51
176,e,n,f,5.19
177,p,w,f,8.97
178,p,y,f,7.21
179,p,n,f,6.66
180,p,n,f,9.89
181,p,p,f,3.88
182,p,r,t,4.98
183,p,n,f,5.27
184,p,y,f,2.11
185,p,w,f,13.28
186,e,n,t,10.85
187,e,y,f,4.87
188,p,l,f,5.61
189,p,g,t,6.1
190,e,w,t,12.91
191,p,e,f,16.71
192,p,n,f,5.32
193,e,n,f,6.03
194,p,n,f,2.76
195,e,n,t,9.05
196,e,w,f,2.46
197,p,n,t,8.07
198,e,b,f,5.52
199,p,n,f,15.14
200,p,e,f,5.97
201,p,n,f,7.69
202,p,e,f,8.27
203,e,w,t,11.2
204,p,p,t,7.98
205,p,n,f,10.71
206,p,y,f,5.51
207,e,n,t,10.09
208,p,y,f,13.42
209,e,n,t,7.65
210,p,n,t,4.78
211,p,w,f,3.76
212,e,n,f,5.22
213,p,n,f,7.07
214,p,g,f,13.7
215,e,n,f,6.55
216,p,n,f,10.55
217,p,e,f,5.68
218,p,n,f,7.98
219,e,n,f,6.23
220,e,n,t,9.05
221,p,w,t,7.31
222,e,b,f,5.78
223,e,k,f,3.49
224,p,y,f,6.1
225,p,w,f,5.37
226,p,n,f,10.76
227,p,n,f,4.49
228,p,w,f,5.52
229,p,w,f,10.91
230,e,g,f,7.34
231,p,w,f,3.62
232,e,p,f,4.48
233,e,b,f,6.12
234,p,n,f,4.56
235,e,y,f,7.83
236,p,e,f,4.43
237,p,n,f,8.45
238,p,r,f,6.35
239,e,k,f,5.94
240,p,w,t,8.49
241,e,w,f,20.44
242,p,u,f,3.92
243,e,w,f,14.0
244,p,e,f,16.77
245,e,n,f,7.59
246,p,n,f,7.95
247,e,n,f,6.76
248,e,n,f,5.92
249,e,e,t,4.74
250,p,w,f,12.08
251,e,n,f,6.06
252,p,n,f,7.26
253,p,n,f,10.67
254,p,n,f,8.55
255,p,n,f,8.5
256,p,n,f,5.54
257,e,g,f,3.05
258,e,n,f,7.28
259,p,n,f,12.86
260,p,n,f,3.03
261,p,n,t,4.61
262,e,n,f,4.53
263,p,n,f,6.15
264,e,w,t,9.82
265,p,n,f,8.74
266,p,y,f,3.64
267,p,y,f,3.46
268,e,n,t,5.2
269,e,n,f,4.88
270,e,g,f,4.94
271,e,n,f,11.77
272,p,n,f,10.78
273,p,b,f,4.26
274,p,g,t,5.51
275,e,w,f,3.64
276,e,w,f,3.22
277,e,p,t,4.67
278,p,y,f,6.43
279,e,y,f,7.67
280,p,e,f,4.82
281,p,n,f,10.61
282,p,g,f,11.27
283,e,n,t,8.15
284,e,e,f,3.64
285,p,p,f,3.75
286,p,n,f,8.54
287,e,r,f,5.67
288,e,b,f,5.28
289,p,o,t,5.94
290,p,n,f,5.54
291,p,n,f,4.6
292,p,n,f,4.96
293,e,n,t,7.81
294,p,w,f,3.51
295,p,w,f,7.42
296,e,n,f,4.57
297,e,o,f,4.89
298,e,n,f,4.7
299,p,n,f,6.7
300,e,w,f,8.37
301,p,n,f,10.06
302,p,w,f,3.42
303,p,n,f,4.2
304,e,n,f,6.22
305,p,n,f,8.4
306,p,k,f,10.0
307,e,y,t,7.52
308,e,o,f,7.08
309,e,b,f,4.89
310,e,w,f,7.16
311,e,w,f,3.55
312,p,n,f,4.6
313,e,g,f,5.18
314,e,y,t,6.19
315,e,n,f,4.54
316,e,n,f,4.93
317,p,y,f,3.45
318,e,n,f,5.75
319,e,w,f,3.32
320,e,w,f,3.53
321,p,n,f,9.84
322,e,n,f,6.95
323,e,g,f,4.84
324,p,y,f,8.11
325,p,n,f,9.33
326,p,n,f,5.39
327,p,y,f,6.25
328,e,n,f,6.88
329,p,r,f,4.78
330,p,o,f,3.04
331,e,w,f,4.56
332,p,e,f,3.51
333,e,n,f,6.37
334,p,w,f,5.53
335,p,n,f,4.75
336,p,g,f,6.2
337,p,o,t,5.17
338,p,e,f,8.46
339,p,y,f,5.95
340,p,p,f,3.46
341,p,n,f,4.24
342,p,n,f,7.03
343,p,g,f,3.27
344,p,w,f,8.53
345,e,n,f,7.07
346,e,n,f,5.4
347,e,n,f,4.51
348,p,n,f,7.82
349,e,g,f,6.0
350,e,w,f,3.04
351,p,n,f,5.13
352,e,g,f,2.32
353,e,o,f,9.22
354,p,n,f,10.94
355,p,o,f,3.23
356,p,p,f,3.75
357,p,e,t,6.49
358,p,y,f,7.92
359,p,n,f,3.12
360,e,g,f,5.17
361,e,g,t,4.64
362,p,n,f,4.89
363,p,n,f,4.32
364,p,n,f,7.57
365,p,w,t,7.81
366,e,n,f,3.91
367,e,n,f,8.33
368,p,n,f,5.3
369,e,b,f,6.03
370,e,g,f,2.57
371,p,k,f,9.02
372,e,o,f,6.01
373,e,n,f,6.75
374,e,o,f,6.72
375,p,n,f,7.68
376,e,n,f,6.91
377,e,o,f,5.95
378,e,o,f,6.14
379,p,e,f,6.31
380,p,w,f,3.19
381,p,l,f,4.26
382,p,e,f,3.07
383,p,e,f,5.89
384,p,n,t,5.24
385,e,p,f,4.55
386,p,n,f,5.64
387,e,y,f,6.73
388,p,w,f,8.37
389,e,n,f,7.65
390,e,y,f,7.53
391,p,u,f,6.32
392,e,n,f,7.97
393,e,n,t,7.71
394,p,n,f,8.11
395,e,n,f,5.56
396,p,o,f,3.46
397,e,n,t,7.65
398,p,w,f,3.33
399,p,n,f,4.81
400,e,y,t,7.33
401,e,n,f,7.23
402,p,g,f,5.3
403,e,w,f,3.03
404,p,n,f,5.43
405,p,u,f,8.22
406,p,e,f,5.76
407,p,y,f,3.24
408,p,n,f,3.37
409,p,e,t,6.62
410,p,r,t,5.39
411,p,n,f,4.67
412,e,u,f,6.19
413,p,y,f,3.6
414,p,o,f,16.92
415,e,n,t,9.0
416,e,n,t,8.29
417,p,p,f,4.92
418,p,n,f,5.13
419,e,n,f,7.19
420,e,e,t,6.72
421,p,y,f,3.42
422,e,n,f,4.21
423,e,n,t,10.04
424,p,n,t,4.76
425,e,g,f,7.63
426,p,g,f,5.74
427,e,n,f,3.07
428,p,y,f,5.3
429,p,e,f,6.54
430,p,n,f,10.83
431,e,w,t,11.2
432,e,n,f,5.92
433,e,y,f,6.16
434,p,n,t,7.83
435,e,n,t,12.44
436,e,y,f,8.61
437,p,g,f,5.4
438,e,n,f,7.84
439,p,n,f,6.11
440,p,n,f,3.88
441,e,n,t,9.48
442,e,n,t,9.14
443,p,n,f,4.37
444,e,n,f,6.61
445,e,n,f,5.74
446,e,e,t,5.98
447,p,p,f,3.28
448,p,n,t,7.0
449,p,n,f,4.85
450,p,o,f,4.23
451,p,n,t,5.06
452,e,y,t,7.68
453,p,y,f,6.09
454,p,w,f,11.06
455,p,n,f,8.71
456,p,g,f,6.06
457,e,n,f,21.17
458,e,w,f,4.68
459,e,o,f,6.16
460,p,n,f,5.85
461,p,y,f,2.12
462,p,y,f,6.11
463,p,o,f,1.46
464,e,b,f,5.16
465,p,p,f,5.02
466,p,n,f,11.65
467,p,e,f,7.59
468,p,n,f,4.96
469,e,o,f,7.38
470,p,p,f,4.27
471,e,g,t,12.2
472,e,b,f,4.81
473,p,n,t,4.84
474,e,n,f,4.33
475,e,n,t,10.32
476,p,n,f,6.28
477,e,n,f,4.49
478,e,n,f,6.73
479,e,w,f,7.81
480,p,o,f,1.55
481,p,w,f,16.05
482,p,w,f,5.88
483,p,n,t,6.37
484,p,r,f,6.0
485,e,n,f,6.23
486,e,n,f,6.18
487,p,n,f,7.31
488,p,w,f,5.22
489,e,w,f,4.17
490,e,g,f,6.03
491,p,p,f,4.47
492,e,n,f,4.95
493,p,n,f,2.13
494,e,w,t,5.89
495,p,y,f,3.17
496,e,n,f,4.49
497,e,y,f,6.79
498,p,g,f,9.96
499,p,n,t,3.64
500,p,n,f,9.36
501,e,n,f,3.85
502,p,y,f,5.27
503,e,n,f,5.4
504,e,n,f,4.95
505,p,n,f,5.08
506,p,o,f,6.47
507,p,w,t,5.46
508,e,g,t,10.66
509,p,n,f,6.4
510,e,g,f,6.32
511,p,g,f,5.6
512,p,o,f,4.85
513,e,w,f,5.68
514,e,y,f,6.01
515,p,n,f,4.35
516,e,w,f,3.39
517,e,b,f,2.2
518,p,n,f,10.57
519,p,n,f,7.32
520,p,n,f,4.91
521,p,w,f,4.39
522,p,n,f,13.71
523,p,w,f,3.02
524,p,o,t,2.56
525,p,w,f,16.25
526,e,w,f,4.86
527,p,n,f,5.18
528,p,y,f,3.9
529,p,n,f,11.07
530,p,r,t,4.88
531,p,g,f,10.98
532,e,n,f,5.51
533,p,g,f,4.95
534,p,l,f,6.82
535,e,n,t,9.16
536,e,n,f,6.22
537,p,e,t,5.4
538,e,w,f,5.54
539,e,n,f,7.34
540,p,n,f,7.6
541,e,n,f,5.49
542,p,y,f,8.37
543,p,y,f,7.03
544,p,n,f,6.22
545,e,o,f,6.19
546,e,n,f,6.04
547,e,y,f,8.19
548,e,n,f,6.1
549,p,o,f,3.51
550,e,n,t,10.19
551,p,n,f,8.16
552,p,o,f,2.77
553,p,n,f,10.34
554,p,n,t,7.46
555,e,y,t,6.48
556,p,n,f,11.32
557,e,n,f,5.08
558,e,n,f,6.37
559,e,n,t,7.53
560,p,n,t,3.77
561,p,n,f,5.63
562,e,n,t,8.01
563,p,n,f,8.2
564,p,o,f,7.61
565,p,u,f,3.88
566,e,n,f,7.4
567,e,n,f,3.8
568,e,w,t,9.99
569,e,n,f,5.24
570,e,n,f,5.47
571,p,e,f,12.87
572,e,g,f,3.82
573,e,g,t,11.27
574,e,g,f,4.56
575,e,n,f,6.21
576,e,r,f,7.13
577,e,n,f,4.82
578,e,n,f,6.17
579,e,n,t,9.03
580,e,g,f,4.07
581,e,g,f,2.23
582,p,n,t,8.65
583,p,o,t,5.68
584,e,w,t,6.01
585,e,n,f,6.83
586,e,n,f,6.66
587,p,n,f,13.2
588,p,p,f,4.08
589,e,n,f,6.38
590,p,e,f,7.56
591,e,n,f,6.42
592,e,w,f,4.19
593,e,n,f,6.96
594,p,e,f,7.72
595,p,e,f,12.22
596,p,g,t,4.79
597,e,e,f,4.46
598,p,o,f,3.23
599,p,n,f,5.46
600,e,n,f,6.28
601,e,o,f,6.07
602,e,n,f,3.88
603,p,w,t,8.07
604,p,w,f,4.15
605,e,n,f,7.04
606,e,g,f,4.31
607,e,n,f,4.55
608,p,y,f,2.91
609,e,n,t,9.03
610,p,p,t,7.4
611,p,k,f,3.74
612,p,g,f,9.04
613,p,n,f,9.04
614,e,w,f,11.27
615,p,n,f,4.47
616,e,n,f,4.9
617,p,n,f,3.21
618,p,y,t,4.49
619,p,e,f,6.4
620,e,n,f,4.91
621,e,o,f,8.73
622,p,w,f,16.78
623,p,u,f,4.05
624,e,w,t,6.3
625,e,w,t,5.96
626,e,y,f,7.26
627,p,w,t,7.51
628,p,w,f,6.16
629,p,n,f,4.13
630,p,n,f,5.05
631,e,b,f,5.74
632,e,n,f,4.69
633,e,n,f,4.88
634,p,o,f,5.55
635,p,y,t,5.71
636,p,n,t,3.46
637,p,n,f,5.77
638,e,n,t,8.29
639,p,g,f,11.4
640,p,w,f,13.13
641,p,n,f,11.19
642,e,w,f,3.58
643,e,n,f,4.32
644,p,y,f,5.67
645,p,e,f,7.79
646,p,g,f,8.04
647,p,n,f,3.79
648,e,e,f,4.6
649,e,n,f,5.26
650,p,y,f,5.85
651,p,n,f,9.79
652,e,n,t,10.7
653,e,n,t,8.07
654,p,y,f,8.95
655,p,n,f,6.56
656,p,g,t,5.05
657,p,n,f,6.0
658,p,n,f,7.11
659,e,n,f,4.72
660,p,o,f,3.39
661,p,o,t,3.7
662,p,p,f,3.77
663,p,r,f,5.35
664,e,n,t,10.41
665,e,n,t,5.84
666,p,n,f,6.22
667,e,g,f,2.59
668,p,g,f,11.23
669,p,w,f,2.81
670,e,k,f,4.98
671,p,w,t,9.51
672,p,p,f,4.77
673,e,n,f,6.73
674,p,n,f,9.96
675,e,n,t,10.2
676,e,n,f,5.54
677,p,n,f,10.8
678,p,n,f,5.09
679,e,n,f,7.19
680,p,n,f,10.34
681,e,g,f,6.55
682,p,n,f,14.73
683,e,n,f,4.92
684,p,w,t,4.55
685,e,n,t,9.67
686,p,n,f,7.15
687,p,e,f,8.63
688,e,g,f,8.68
689,e,k,f,4.38
690,e,b,f,6.45
691,p,o,f,5.07
692,e,n,f,13.37
693,e,n,t,10.18
694,p,y,f,2.38
695,p,e,f,17.32
696,p,w,f,3.66
697,p,w,f,11.03
698,e,y,f,7.82
699,p,o,f,5.14
700,p,n,t,5.28
701,p,e,t,6.2
702,p,n,t,5.62
703,e,n,f,4.66
704,p,p,t,5.12
705,p,y,f,2.11
706,e,y,f,4.32
707,p,n,f,4.42
708,p,n,f,5.87
709,p,y,f,8.37
710,e,n,f,8.33
711,p,n,f,11.05
712,p,n,f,3.13
713,p,e,f,8.23
714,p,w,f,5.64
715,e,n,f,7.31
716,e,n,t,5.9
717,e,n,f,5.77
718,p,e,f,3.59
719,p,y,t,4.49
720,p,n,f,7.27
721,e,n,f,6.23
722,p,o,t,3.73
723,e,n,t,8.91
724,p,g,f,11.31
725,p,y,f,12.32
726,e,n,f,6.14
727,p,y,f,1.59
728,p,o,t,3.18
729,p,k,f,6.7
730,e,k,f,8.49
731,p,o,f,6.19
732,p,n,f,4.56
733,e,w,f,2.6
734,p,n,f,7.05
735,e,p,t,6.53
736,e,n,f,6.82
737,p,n,f,5.18
738,e,y,f,3.17
739,e,n,t,10.22
740,e,w,f,5.93
741,e,g,f,5.94
742,e,o,f,6.08
743,e,n,f,6.88
744,p,n,t,5.19
745,e,n,f,5.9
746,e,n,f,4.89
747,e,n,f,4.27
748,e,n,f,5.97
749,e,n,t,11.19
750,p,r,f,10.69
751,e,u,f,6.35
752,p,n,f,12.75
753,e,y,f,3.46
754,p,n,f,5.17
755,p,e,f,4.27
756,p,e,f,5.99
757,p,n,f,4.29
758,e,n,t,10.31
759,e,n,f,5.3
760,e,g,f,5.5
761,e,g,f,4.61
762,e,y,t,6.71
763,e,n,t,11.19
764,e,n,f,5.92
765,p,e,f,14.72
766,p,e,f,3.73
767,e,n,f,25.93
768,p,n,f,5.63
769,p,e,t,6.75
770,e,g,f,2.13
771,e,n,t,4.55
772,p,y,t,10.01
773,p,w,f,3.09
774,e,p,f,7.67
775,p,r,t,6.59
776,e,o,f,6.15
777,e,w,f,15.57
778,p,e,f,7.87
779,p,n,f,2.31
780,p,g,t,4.33
781,p,e,f,6.11
782,e,l,f,2.69
783,p,w,f,3.17
784,p,k,f,3.8
785,p,n,f,1.58
786,p,u,f,4.94
787,p,e,f,17.87
788,p,n,f,9.02
789,p,n,t,5.6
790,e,g,f,5.92
791,p,w,f,3.38
792,p,n,f,19.14
793,p,n,f,5.55
794,e,n,t,9.86
795,p,n,f,6.01
796,p,o,f,3.23
797,e,n,f,5.26
798,p,p,f,4.19
799,p,p,f,4.37
800,p,k,f,3.59
801,e,n,t,7.41
802,e,y,f,7.34
803,p,w,f,2.95
804,p,n,f,5.07
805,p,o,t,5.96
806,p,n,f,4.38
807,e,n,f,5.87
808,p,n,f,4.53
809,e,n,f,4.93
810,p,n,f,5.71
811,p,r,f,11.69
812,p,y,f,6.4
813,p,p,t,6.7
814,e,w,t,6.44
815,p,e,f,5.74
816,e,n,f,6.88
817,p,e,f,2.62
818,p,e,f,2.78
819,p,n,f,18.81
820,p,e,f,4.06
821,p,y,f,2.38
822,e,b,f,6.04
823,e,e,t,6.73
824,p,n,f,5.35
825,p,y,f,5.56
826,e,b,f,6.58
827,p,e,f,3.37
828,p,y,f,8.21
829,p,e,f,3.26
830,e,w,f,24.55
831,e,n,t,6.62
832,p,n,t,7.41
833,e,u,f,3.49
834,e,w,t,7.15
835,e,n,f,5.44
836,p,p,t,8.26
837,e,r,f,7.06
838,e,u,f,3.61
839,p,p,f,5.56
840,e,u,f,8.7
841,p,n,f,4.08
842,e,n,f,5.05
843,p,n,f,4.03
844,p,n,f,5.18
845,e,w,f,3.16
846,p,y,f,9.36
847,e,o,f,6.08
848,p,o,f,3.35
849,e,g,f,6.33
850,e,y,f,6.4
851,e,w,f,3.67
852,e,n,f,6.19
853,p,r,f,5.68
854,p,r,f,11.1
855,e,n,f,7.1
856,p,n,f,3.3
857,e,y,f,4.4
858,e,b,f,5.74
859,p,n,f,9.14
860,p,n,f,5.86
861,p,e,t,7.01
862,p,g,f,6.04
863,p,y,t,7.05
864,p,y,f,7.81
865,p,g,f,5.1
866,e,n,f,12.6
867,e,n,f,5.44
868,e,w,f,3.91
869,p,g,f,4.99
870,p,e,t,6.78
871,p,o,f,3.67
872,p,w,f,8.81
873,p,n,f,4.53
874,p,l,f,6.07
875,e,u,f,4.84
876,p,w,f,3.09
877,e,y,t,7.92
878,e,n,t,7.03
879,p,n,t,3.5
880,e,n,f,5.16
881,p,g,t,4.38
882,p,o,f,4.63
883,e,n,t,8.39
884,p,n,t,5.98
885,p,y,f,3.68
886,p,g,f,5.1
887,p,e,f,3.71
888,e,w,f,3.4
889,e,n,f,6.32
890,p,n,f,5.09
891,e,n,f,7.16
892,e,w,f,6.64
893,p,y,f,6.2
894,p,n,f,6.11
895,p,n,f,6.47
896,p,k,f,3.9
897,e,n,f,4.59
898,p,y,f,6.0
899,e,n,f,5.11
900,p,n,f,7.29
901,e,k,f,5.02
902,e,g,f,4.9
903,e,n,t,8.92
904,p,n,t,10.22
905,p,o,f,6.15
906,e,g,f,2.54
907,e,n,f,4.3
908,p,n,f,3.98
909,e,w,f,3.46
910,p,n,f,6.37
911,e,g,f,2.93
912,p,e,f,5.54
913,p,k,f,3.54
914,p,n,f,7.59
915,e,g,f,3.59
916,e,g,t,3.75
917,e,w,f,4.16
918,p,e,t,7.75
919,p,o,f,6.15
920,e,p,f,4.41
921,p,n,f,4.12
922,e,w,f,5.32
923,e,g,f,5.01
924,e,g,f,5.0
925,p,y,f,3.75
926,p,n,f,5.84
927,p,n,f,3.58
928,p,r,f,1.52
929,p,n,t,5.44
930,e,n,f,5.25
931,e,n,f,5.19
932,e,o,f,9.74
933,p,e,f,3.78
934,e,n,f,5.08
935,p,n,f,10.01
936,p,n,f,9.95
937,p,n,t,8.65
938,p,w,f,4.56
939,e,y,f,9.06
940,p,e,f,3.99
941,e,n,f,7.92
942,p,o,f,2.83
943,p,e,f,7.31
944,e,e,t,4.53
945,e,n,f,5.88
946,p,e,t,6.45
947,e,w,f,7.82
948,p,o,f,2.63
949,e,n,f,3.45
950,p,n,t,9.08
951,p,e,f,7.01
952,p,n,f,13.02
953,p,n,f,6.28
954,e,n,f,6.76
955,p,n,f,5.81
956,p,o,f,4.4
957,e,n,f,5.08
958,p,w,f,3.28
959,p,n,f,11.12
960,e,e,f,7.39
961,p,o,f,2.9
962,p,n,f,7.59
963,e,y,t,8.23
964,e,y,f,7.03
965,p,p,f,4.21
966,p,g,f,5.36
967,e,p,f,7.18
968,p,n,f,6.6
969,e,n,f,4.19
970,e,g,f,5.39
971,p,e,f,5.6
972,p,n,f,3.71
973,p,n,f,9.91
974,p,n,f,6.09
975,p,p,f,4.61
976,e,n,f,4.71
977,p,w,f,3.35
978,p,n,f,6.46
979,p,y,t,4.81
980,p,o,t,3.37
981,p,y,f,2.98
982,p,g,f,7.92
983,p,e,f,5.2
984,e,b,f,6.75
985,e,n,f,6.85
986,p,n,f,8.05
987,e,e,f,8.07
988,p,g,t,4.41
989,p,w,f,2.73
990,p,g,f,3.17
991,p,y,f,6.37
992,p,e,f,8.08
993,p,n,f,7.99
994,e,n,t,7.4
995,p,n,f,5.63
996,e,k,f,7.52
997,e,n,t,5.83
998,e,g,f,5.26
999,p,u,f,3.72
1000,p,e,f,8.15
1001,p,l,f,4.63
1002,p,n,f,7.91
1003,p,n,f,10.52
1004,e,l,f,9.11
1005,p,n,f,4.77
1006,p,n,f,2.98
1007,e,n,f,4.67
1008,e,n,f,7.31
1009,e,g,f,9.36
1010,p,n,f,11.0
1011,p,n,f,8.87
1012,p,n,f,5.94
1013,p,w,f,3.8
1014,p,e,f,4.34
1015,e,n,f,5.89
1016,p,g,f,4.95
1017,p,n,t,9.6
1018,p,n,f,6.01
1019,p,n,f,10.21
1020,e,w,f,3.76
1021,p,o,f,4.76
1022,p,g,f,3.26
1023,p,n,f,3.57
1024,e,g,f,7.23
1025,e,w,t,5.7
1026,p,y,f,3.55
1027,p,n,t,3.01
1028,e,n,f,12.1
1029,e,y,f,6.97
1030,p,o,f,6.22
1031,e,n,f,5.87
1032,p,k,f,3.92
1033,p,y,f,6.03
1034,p,p,f,5.06
1035,e,n,t,9.19
1036,p,r,f,1.38
1037,p,n,f,4.9
1038,p,n,f,7.19
1039,e,g,f,4.84
1040,e,u,f,6.09
1041,e,n,f,6.02
1042,p,w,f,2.86
1043,e,n,f,5.19
1044,p,u,f,4.08
1045,e,n,f,4.72
1046,e,g,t,4.81
1047,e,n,t,6.38
1048,e,n,t,7.16
1049,e,n,f,5.53
1050,e,y,f,5.93
1051,p,o,f,17.65
1052,p,e,t,6.59
1053,e,n,f,4.72
1054,e,n,f,7.16
1055,p,r,f,10.94
1056,p,w,f,16.22
1057,p,n,f,5.27
1058,p,n,t,5.82
1059,p,e,f,4.95
1060,p,n,f,5.97
1061,p,n,f,8.19
1062,e,n,t,9.14
1063,p,y,f,8.65
1064,e,y,f,6.59
1065,e,n,f,7.12
1066,p,w,f,7.76
1067,e,w,f,4.49
1068,p,n,f,5.21
1069,e,n,f,5.72
1070,e,n,f,7.31
1071,p,n,t,6.19
1072,e,n,f,4.87
1073,e,n,t,8.35
1074,e,n,t,9.42
1075,p,n,f,4.53
1076,p,n,f,5.25
1077,p,n,f,5.43
1078,p,y,f,6.82
1079,e,y,f,6.66
1080,p,e,f,5.72
1081,p,n,f,7.56
1082,p,o,f,5.84
1083,e,o,f,5.14
1084,e,n,f,8.31
1085,p,e,t,9.25
1086,p,o,f,4.5
1087,e,n,f,6.01
1088,e,n,f,5.92
1089,e,g,f,2.56
1090,p,y,f,5.88
1091,p,e,f,4.1
1092,e,k,f,6.19
1093,p,n,f,5.36
1094,e,n,t,8.78
1095,e,n,t,9.1
1096,e,n,f,5.89
1097,p,y,t,5.54
1098,p,p,f,4.35
1099,e,n,t,9.03
1100,p,o,f,5.81
1101,e,y,f,6.59
1102,p,y,f,6.41
1103,p,y,f,4.78
1104,p,n,t,5.53
1105,p,g,f,3.25
1106,p,w,f,15.77
1107,p,w,f,3.68
1108,e,n,f,5.98
1109,p,y,t,5.99
1110,p,u,f,3.98
1111,e,w,t,6.19
1112,p,n,f,4.31
1113,p,w,f,8.25
1114,p,n,f,4.99
1115,p,r,f,11.41
1116,p,g,f,9.69
1117,e,n,t,9.07
1118,p,n,f,8.03
1119,p,n,f,4.13
1120,e,k,f,4.42
1121,p,n,f,6.31
1122,p,g,t,9.96
1123,e,g,t,11.31
1124,e,n,f,5.06
1125,e,n,f,4.22
1126,e,w,f,3.28
1127,e,n,t,9.3
1128,e,n,f,5.73
1129,p,y,f,3.1
1130,p,p,f,3.64
1131,e,g,f,6.79
1132,e,n,t,7.63
1133,p,w,f,12.45
1134,e,u,f,3.99
1135,e,n,t,9.19
1136,e,y,f,5.58
1137,p,r,t,5.02
1138,p,n,f,11.52
1139,p,e,f,16.88
1140,e,y,t,7.25
1141,e,n,f,6.6
1142,e,g,f,7.34
1143,e,n,t,11.43
1144,e,n,f,6.03
1145,e,g,f,7.38
1146,e,b,f,5.01
1147,p,n,f,5.61
1148,e,n,t,7.31
